"workerid","language","enjoyment","gender","age","problems","comments","asses","fairprice","education"
0,"English",0,"Male",23,"No.","","Yes","0.25",3
1,"English",1,"Male",24,"","","Yes","",3
2,"english",0,"Female",23,"no","","Yes",".30",3
3,"english",0,"Male",29,"No","","Yes",".20",2
4,"english",1,"Male",26,"","","Yes","$0.10",1
5,"English",1,"Male",37,"nO","Thank you!","Yes",".25",3
6,"English",0,"Female",56,"no","Put in a qualifier that shows if you have taken the survey before or not.","Yes",".35",2
7,"English",0,"Female",35,"none","","Yes","yes",3
8,"English",0,"Male",26,"No","","Yes","0.50",1
9,"English",0,"Male",23,"","","Yes","Yes",2
10,"English",1,"Male",26,"No","","Yes",".25",4
11,"English",1,"Female",54,"no","","Yes",".25",4
12,"English",1,"Female",29,"","","No","25",2
13,"english",0,"Male",28,"no","","Yes",".25",3
14,"english",0,"Male",36,"no","","Yes",".50",2
15,"English ",0,"Female",44,"no","","Yes","yes",3
16,"English",1,"Female",54,"Not to my knowledge, no.","Are there more of these hits with bonuses?","Confused","50",3
17,"english",0,"Male",33,"no","","Yes","yeah",3
18,"English",1,"Male",34,"No problems, thank you.","None, thank you.  ","Yes","Yes",3
19,"English",1,"Female",38,"no","","Yes",".25",2
20,"English",0,"Male",30,"no","","No","0.30",4
21,"English",0,"Male",35,"No, I don&quotechart think so.","I assume the wording on ""it makes thups sleepy"" is the test? Since it only worked on 20% of the animals, I felt that it was true but not universally so. I am conflicted on that answer.","Yes","0.25",2
22,"english",1,"Female",51,"no","","Yes","25",3
23,"English",0,"Female",59,"No","","Yes",".50",4
24,"English",1,"Male",33,"No","No","Yes","Yes",2
25,"English",0,"Male",63,"none","none","Yes",".25",2
26,"English",0,"Female",35,"","","Yes",".50",3
27,"English",1,"Male",34,"",NA,"Yes","Yes",2
28,"English",0,"Female",38,"No",NA,"Yes","$0.25",3
29,"English",0,"Male",67,"no",NA,"Yes",".30",1
30,"English",1,"Male",25,"No",NA,"Yes","0.25",2
31,"English",0,"Male",25,"No",NA,"Yes","0.25",2
32,"english",1,"Male",27,"",NA,"Yes",".25",1
33,"english",1,"Male",25,"no",NA,"Yes","85",2
34,"English",0,"Female",36,"not that I noticed",NA,"Yes",".50",3
35,"English",0,"Male",38,"No",NA,"Yes",".30",2
36,"English",0,"Male",22,"no","","Yes","price is good",3
37,"English",1,"Female",33,"No","","Yes","0.30",3
38,"English",0,"Male",32,"No","Not at this time","Yes",".30",4
39,"English",1,"Male",25,"","","Yes","$0.50",4
40,"English",1,"Female",52,"no","no","Yes",".35",2
41,"english",1,"Male",39,"no","","Yes","25",3
42,"English",1,"Female",36,"No","Thanks!","Yes",".25",2
43,"English",0,"Male",39,"","","Yes","0.20",1
44,"English",0,"Male",36,"no","","Yes","50",3
