"workerid","language","enjoyment","gender","age","problems","comments","asses","fairprice","education"
0,"English",0,"Male",26,"No","","No",".50",3
1,"English",0,"Male",35,"no","","Yes","0.40",3
2,"English",0,"Male",34,"no","None","Yes","0.30",2
3,"English",0,"Female",23,"no","none","Yes",".25",1
4,"English",0,"Male",21,"No","","Yes","$0.35",2
5,"english",0,"Male",34,"no","","Yes",".25",3
6,"english",0,"Male",30,"No","","Yes","0.3",2
7,"english",1,"Male",27,"none","","Yes",".25",3
8,"english",0,"Male",53,"none","none","Yes",".25",0
9,"English",1,"Male",30,"There wasn&quotechart a count on the sliding bar for picking what I thought the missing herb&quotechars value was.","Very easy and straightforward. Thank you!","Yes","0.20",3
10,"English",0,"Female",31,"No","","Yes",".25",3
11,"English",1,"Female",54,"no","","Yes","35",2
12,"English",1,"Male",41,"no","","Yes","30",3
13,"English",0,"Male",25,"No.","","Yes","$0.50",1
14,"english",0,"Female",41,"","","Confused","1.00",2
15,"ENGLISH",1,"Female",23,"NONE","","Yes","25",3
16,"English",1,"Male",27,"","","Yes","yes",3
17,"English",1,"Female",37,"20","","Yes",".25",3
18,"English",0,"Male",28,"no","I&quotecharm not sure whether I was supposed to be forming some sort of sequential pattern or whatnot, but I certainly was paying attention to each individual compound isolated from any pattern to the group as a whole.","Yes","0.25",2
19,"English",0,"Male",49,"","","Yes","0.30",4
20,"English",0,"Male",32,"","","Yes",".25",2
21,"English",0,"Female",37,"no","","Yes",".35",3
22,"english",0,"Male",26,"","","Yes",".25",2
23,"English",0,"Male",43,"","","Yes",".25",4
24,"english",1,"Female",30,"no","","Yes","yes",2
25,"English",1,"Female",51,"no bugs","interesting--thanks!","Yes","0.25",3
26,"english",0,"Male",38,"","","Yes",".25",3
27,"English",1,"Male",31,"I couldn&quotechart see the number that I chose.","","Yes","0.3",3
28,"English",0,"Female",31,"no","Thanks for the work!","Yes","0.25",3
29,"English",0,"Female",29,"","","No",".25",4
30,"english",99,"Female",26,"na","","Yes","na",2
31,"English",0,"Male",34,"no","none","Yes",".25",3
32,"English",1,"Male",31,"No","","Yes","0.25",4
33,"English",1,"Female",28,"None, thank you!","","Yes","Yes, and again thank you.",2
34,"English",0,"Male",30,"No","","Yes","",2
35,"English",0,"Female",25,"no","","Yes",".25",3
36,"English",1,"Male",33,"None","","Yes","Yes",4
37,"English",0,"Female",30,"No","","Yes",".25",2
38,"english",0,"Female",21,"no","","Yes","na",2
39,"English",0,"Male",30,"no","","Yes","yes",3
40,"English",1,"Male",34,"","","Yes","0.50",2
41,"english",1,"Male",26,"no","none","Yes",".50",2
42,"English",0,"Female",30,"No","","Yes","this",4
43,"english",0,"Male",27,"","","Yes","25",2
